,DATE,COUNTRY,PROVINCE,DISTRICT,MUNICIPALITY,TOWN,FEEDBACK CHANNEL,SEX,AGE RANGE,Other DIVERSITY factors,LANGUAGE,FEEDBACK COMMENT,TRANSLATED FEEDBACK COMMENT,NUMBER OF TIMES,FEEDBACK TYPE,CATEGORY,CODE,SENSITIVITY,CRITICALITY,OPERATION,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
13,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Durban,eMhlasini,Field Monitoring,Female,Adults_18_59_Years_Old,Ethnic_Minority,isiZulu,Where we are places our safety is not guaranteed at we don't have security and all genders in the same hall. We are cold as the blankets aren't enough and we eat te same food for many days in a row.It not comfortable being displaced and not having your own space and recent they have been conflicts.,Where we are places our safety is not guaranteed at we don't have security and all genders in the same hall. We are cold as the blankets aren't enough and we eat te same food for many days in a row.It not comfortable being displaced and not having your own space and recent they have been conflicts.,1,Report,Issues_with_quality_quantity_or_timeliness,"Issues with quality, quantity or timeliness of services",Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
14,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Durban,eMhlasini,Field Monitoring,Female,Adults_18_59_Years_Old,Ethnic_Minority,isiZulu,In terms of response we would really appreciate if it would be quick as we are staying here we will end up hurting one another.,In terms of response we would really appreciate if it would be quick as we are staying here we will end up hurting one another.,1,Report,Other_report,Other_report,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
15,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Durban,eMhlasini,Field Monitoring,Female,Adults_18_59_Years_Old,Ethnic_Minority,isiZulu,Is it possible that we are separated females be displaced alone and males aswell,Is it possible that we are separated females be displaced alone and males aswell,1,Questions,Other_questions,Other questions,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
16,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,Mhlasini Ward 60,Structured interview,Male,Adults_18_59_Years_Old,Ethnic_Minority,isiZulu,To point a person who will be responsible to ensure that everyone is accommodated with the response materials because if others were at work when they come their staff get taken by others so they need a person reliable in ensuring that everyone benefit,To point a person who will be responsible to ensure that everyone is accommodated with the response materials because if others were at work when they come their staff get taken by others so they need a person reliable in ensuring that everyone benefit,1,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Non_sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
17,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,Ward 60 Mhlasibe,Structured interview,Male,Adults_18_59_Years_Old,Ethnic_Minority,isiZulu,They complain of getting new houses in safe areas because they are traumatized by these floods,They complain of getting new houses in safe areas because they are traumatized by these floods,1,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Non_sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
18,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Durban,eMhlasini,Structured interview,Female,Adults_18_59_Years_Old,Ethnic_Minority Women,isiZulu,"We are truly grateful for the support it was given by SCARS, social works, Municipality with clothing and children essentials","We are truly grateful for the support it was given by SCARS, social works, Municipality with clothing and children essentials",1,Encouragement_Praise,Appreciation_of_response_actors,Appreciation of activities services,Non_sensitive,"No_immediate_action_necessary,_general_monitoring,_review_and_action",Flood,,,,,,,
19,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Durban,eMhlasini,Structured interview,Female,Adults_18_59_Years_Old,Ethnic_Minority Women,isiZulu,"We would appreciate in terms of the essentials given to us tat it reach he right hands, as we truly have nothing and we need the help and it not nice that only certain people get, sometimes we see what was given but don't end up using it, it would be great to have someone else observe what is happening in the hall as we being discouraged to speak out and end up in conflict alone","We would appreciate in terms of the essentials given to us tat it reach he right hands, as we truly have nothing and we need the help and it not nice that only certain people get, sometimes we see what was given but don't end up using it, it would be great to have someone else observe what is happening in the hall as we being discouraged to speak out and end up in conflict alone",1,Report,Other_report,Other_report,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
20,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Durban,eMhlasini,Structured interview,Female,Adults_18_59_Years_Old,Ethnic_Minority Women,isiZulu,Is is possible that the gender be displaced in separated in the halls,Is is possible that the gender be displaced in separated in the halls,2,Questions,Other_questions,Other questions,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
21,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,Mhlasini,Community meeting,Mixed,Mixed,Migrant Women Children,isiZulu,They want to know if is there any hope to get houses again,They want to know if is there any hope to get houses again,8,Questions,Other_questions,Other questions,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
22,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,Mhlasini,Community meeting,Mixed,Mixed,Migrant Women Children,isiZulu,"They get help from the department of health like pills, children get vaccine for their illness and other stuffs","They get help from the department of health like pills, children get vaccine for their illness and other stuffs",3,Encouragement_Praise,Appreciation_of_response_actors,Appreciation of activities services,Sensitive,"No_immediate_action_necessary,_general_monitoring,_review_and_action",Flood,,,,,,,
23,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,Mhlasini,Community meeting,Mixed,Mixed,Migrant Women Children,isiZulu,The department of affairs has not reached this hall in order to do then ID books and birth certificate for children,The department of affairs has not reached this hall in order to do then ID books and birth certificate for children,10,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
24,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,Mhlasini,Community meeting,Mixed,Mixed,Migrant Women Children,isiZulu,They need lotions and underwears,They need lotions and underwears,3,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
25,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Mhlasini,Veluram,Field Monitoring,Female,Elderly_60_Years_And_Older,Physical_Disability Migrant Women,isiZulu,"House erroded,in need of blankets, food, cleaning detergent, plates n spoons","House erroded,in need of blankets, food, cleaning detergent, plates n spoons",2,Report,Other_report,Other report,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
26,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,Mhlasime area1,Structured interview,Female,Adults_18_59_Years_Old,Ethnic_Minority,isiXhosa,She lost her house and she is living with her 6 kids  and she lost everything she was only left with her ID only no cloths no food she is struggling on her own she needs support,She lost her house and she is living with her 6 kids  and she lost everything she was only left with her ID only no cloths no food she is struggling on her own she needs support,2,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
27,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,Mhlasime area1,Structured interview,Female,Adults_18_59_Years_Old,Ethnic_Minority,isiXhosa,They are not sitting well their they don't have electricity  and  some of them they don't respect each other .. because they came from a different families so the respect is not the same,They are not sitting well their they don't have electricity  and  some of them they don't respect each other .. because they came from a different families so the respect is not the same,1,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,"No_immediate_action_necessary,_general_monitoring,_review_and_action",Flood,,,,,,,
28,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,MHlasime area 1,Structured interview,Female,Adults_18_59_Years_Old,Pregnant_Lactating_Women,isiZulu,We have problem we have to sleep cause we have few mattress and blankets so we need that cause it very cold,We have problem we have to sleep cause we have few mattress and blankets so we need that cause it very cold,1,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
29,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,MHlasime area 1,Structured interview,Female,Adults_18_59_Years_Old,Pregnant_Lactating_Women,isiZulu,All the clothes were flooded we don't have clothes to wear,All the clothes were flooded we don't have clothes to wear,2,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
30,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,MHlasime area 1,Structured interview,Female,Adults_18_59_Years_Old,Pregnant_Lactating_Women,isiZulu,We have a problem when we have meals cause we have no plates nor dishes to eat on we kindly request that as soon as possible,We have a problem when we have meals cause we have no plates nor dishes to eat on we kindly request that as soon as possible,3,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
31,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,MHlasime area 1,Structured interview,Female,Adults_18_59_Years_Old,Pregnant_Lactating_Women,isiZulu,"We have problems when we need to bath,we have no soaps to wash with","We have problems when we need to bath,we have no soaps to wash with",4,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
32,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,MHlasime area 1,Structured interview,Female,Adults_18_59_Years_Old,Pregnant_Lactating_Women,isiZulu,We only have one meal per day that's a serious matter cause we children in this place,We only have one meal per day that's a serious matter cause we children in this place,4,Observation_Perception_Or_Belief,Other_observation_perception_belief,Other observation perception or belief,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
33,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,MHlasime area 1,Structured interview,Female,Adults_18_59_Years_Old,Pregnant_Lactating_Women,isiZulu,Some of the things that we were provided by the donars we have not yet received them,Some of the things that we were provided by the donars we have not yet received them,3,Report,Allegations_of_misconduct,Allegations_of_misconduct,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
34,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,MHlasime area 1,Structured interview,Female,Adults_18_59_Years_Old,Pregnant_Lactating_Women,isiZulu,They is no specific food for the babies,They is no specific food for the babies,6,Observation_Perception_Or_Belief,Observation_perception_belief_about_preventative_behaviours,Beliefs about behaviors that can protect people from the disease,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
35,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Pinetown,EMAWOSI,Structured interview,Mixed,Mixed,Physical_Disability Mental_Disability Underlying_Illness Pregnant_Lactating_Women Women,isiZulu,Sizoqala nje sibonge about Red Cross service such as food and clothes. We have the problem of electricity for three weeks. They are connecting the electricity from the neighborhood. They're requesting pot donation of two. Good service of the pit toilet. They are requesting sponge and blankets.,Sizoqala nje sibonge about Red Cross service such as food and clothes. We have the problem of electricity for three weeks. They are connecting the electricity from the neighborhood. They're requesting pot donation of two. Good service of the pit toilet. They are requesting sponge and blankets.,7,Encouragement_Praise,Appreciation_of_response_actors,Appreciation of activities services,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
36,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Pinetown,EMAWOSI,Structured interview,Mixed,Mixed,Physical_Disability Mental_Disability Underlying_Illness Pregnant_Lactating_Women Women,isiZulu,"They are also requesting hygiene packs. They are also requesting SASSA, DEPARTMENT OF HOME AFFAIRS and Department of Health","They are also requesting hygiene packs. They are also requesting SASSA, DEPARTMENT OF HOME AFFAIRS and Department of Health",6,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,To_be_clarified,Action_needs_to_be_taken,Flood,,,,,,,
37,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Pinetown,EMAWOSI,Structured interview,Mixed,Mixed,Physical_Disability Mental_Disability Underlying_Illness Pregnant_Lactating_Women Women,isiZulu,Some people have lost their houses and they're not staying in the hall but they managed to rebuild their house. The question is are they going to get help from the Red Cross and to other stakeholders.,Some people have lost their houses and they're not staying in the hall but they managed to rebuild their house. The question is are they going to get help from the Red Cross and to other stakeholders.,5,Questions,Questions_about_scope_scale_of_disaster,Questions about the number of cases and geographic areas affected,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
38,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Ethekwini,Pinetown (Emahosi),Structured interview,Mixed,Mixed,Underlying_Illness Mixed,mixed,"Request :we don't have electricity, we get electricity from a neighbor, who stays near this hall we are in","Request :we don't have electricity, we get electricity from a neighbor, who stays near this hall we are in",10,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
39,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Ethekwini,Pinetown (Emahosi),Structured interview,Mixed,Mixed,Underlying_Illness Mixed,mixed,We did not have pampers and hygiene pack,We did not have pampers and hygiene pack,10,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
40,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Ethekwini,Pinetown (Emahosi),Structured interview,Mixed,Mixed,Underlying_Illness Mixed,mixed,"We want water to cook, wash and bath, because we are using water from the river","We want water to cook, wash and bath, because we are using water from the river",10,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
41,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Ethekwini,Pinetown (Emahosi),Structured interview,Mixed,Mixed,Underlying_Illness Mixed,mixed,"Maybe if you can provide us with jojo tanks water, so we can have clean water","Maybe if you can provide us with jojo tanks water, so we can have clean water",10,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
42,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Ethekwini,Pinetown (Emahosi),Structured interview,Mixed,Mixed,Underlying_Illness Mixed,mixed,When we get food parcels other community members they come and fight with us,When we get food parcels other community members they come and fight with us,10,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
43,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Ethekwini,Pinetown (Emahosi),Structured interview,Mixed,Mixed,Underlying_Illness Mixed,mixed,"If you can provide us with blankets, big pots and extra mattresses","If you can provide us with blankets, big pots and extra mattresses",10,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
44,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Ethekwini,Pinetown (Emahosi),Structured interview,Mixed,Mixed,Underlying_Illness Mixed,mixed,"Can you provide us with stationary for our children, because we fight for pens","Can you provide us with stationary for our children, because we fight for pens",10,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Non_sensitive,"No_immediate_action_necessary,_general_monitoring,_review_and_action",Flood,,,,,,,
45,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,Mhlasini,Interactive Voice Response,Female,Adults_18_59_Years_Old,Pregnant_Lactating_Women Children,isiXhosa,Shortage of mattresses so they are borrowing from neighbors and friends,Shortage of mattresses so they are borrowing from neighbors and friends,1,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,To_be_clarified,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
46,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,Mhlasini,Interactive Voice Response,Female,Adults_18_59_Years_Old,Pregnant_Lactating_Women Children,isiXhosa,When providing hot meals meat must be included they are tired of potatoes,When providing hot meals meat must be included they are tired of potatoes,6,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,To_be_clarified,To_be_clarified,Flood,,,,,,,
47,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,Mhlasini,Interactive Voice Response,Female,Adults_18_59_Years_Old,Pregnant_Lactating_Women Children,isiXhosa,They sleep with men's in the same hall so they are scared about their safety for kids and for them as women,They sleep with men's in the same hall so they are scared about their safety for kids and for them as women,2,Encouragement_Praise,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
48,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,Mhlasini,Interactive Voice Response,Female,Adults_18_59_Years_Old,Pregnant_Lactating_Women Children,isiXhosa,They are fighting because of the shortage of blankets almost killed each other they need to be protected by security,They are fighting because of the shortage of blankets almost killed each other they need to be protected by security,1,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
49,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,Mhlasini,Field Monitoring,Female,Mixed,Mixed,isiZulu,The door is noisy when waking up for work it disturb others so normally we have disagreements with our fellow brothers and sister,The door is noisy when waking up for work it disturb others so normally we have disagreements with our fellow brothers and sister,1,Report,Other_report,Other_report,To_be_clarified,"No_immediate_action_necessary,_general_monitoring,_review_and_action",Flood,,,,,,,
50,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,Mhlasini,Field Monitoring,Female,Mixed,Mixed,isiZulu,Issue of disabled child mentally so sometimese can pee the mattress and people in the hall are discriminating him and now he fails to go to school,Issue of disabled child mentally so sometimese can pee the mattress and people in the hall are discriminating him and now he fails to go to school,1,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
51,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,Mhlasini,Field Monitoring,Female,Mixed,Mixed,isiZulu,Uniform needed for two learner's one is 16 and one is 11,Uniform needed for two learner's one is 16 and one is 11,1,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
52,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,Mhlasini,Field Monitoring,Female,Mixed,Mixed,isiZulu,Sanitary pads and baby formulas and Pampers needed,Sanitary pads and baby formulas and Pampers needed,3,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
53,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,Mhlasini,Field Monitoring,Female,Mixed,Mixed,isiZulu,Place of a shelter because her mother and her disabled kid are being abused here,Place of a shelter because her mother and her disabled kid are being abused here,1,Report,Allegations_of_SEA,Allegations_of_SEA,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
54,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Location,Structured interview,Mixed,Adults_18_59_Years_Old,Women Children,isiZulu,"We need clothes, we only have what we have on","We need clothes, we only have what we have on",10,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
55,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Ncemane street,Field social mobilisation activities,Mixed,Mixed,Women Children,isiZulu,They want to know on the duration since they are staying at halls,They want to know on the duration since they are staying at halls,1,Questions,Questions_that_reveal_mistrust_or_suspicion_about_people_or_institutions,Questions that reveal mistrust or suspicion about people or institutions,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
56,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Ncemane street,Field social mobilisation activities,Mixed,Mixed,Women Children,isiZulu,The department of home affairs has given them a chance to do new ID,The department of home affairs has given them a chance to do new ID,3,Encouragement_Praise,Appreciation_of_response_actors,Appreciation of activities services,Non_sensitive,"No_immediate_action_necessary,_general_monitoring,_review_and_action",Flood,,,,,,,
57,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Ncemane street,Field social mobilisation activities,Mixed,Mixed,Women Children,isiZulu,There is a shortage ness of sponges and blankets,There is a shortage ness of sponges and blankets,10,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
58,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Ncemane street,Field social mobilisation activities,Mixed,Mixed,Women Children,isiZulu,The government has not been able to provide new uniforms for school children's whose uniforms were washed away,The government has not been able to provide new uniforms for school children's whose uniforms were washed away,10,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
59,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Tshelimnyama,Ncemane street,Field social mobilisation activities,Mixed,Mixed,Women Children,isiZulu,The windows in the community halls are broken some end up getting flue,The windows in the community halls are broken some end up getting flue,1,Report,Other_report,Other report,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
60,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Marianhill,Itshelimnyama,Field Monitoring,Female,Mixed,Mixed,isiZulu,The house has been damage and at the hall she doesn't get hot meals so she want to be moved,The house has been damage and at the hall she doesn't get hot meals so she want to be moved,1,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
61,2022-05-10,ZAF,KwaZulu-Natal,Ethekwini,Marianhill,Itshelimnyama,Field Monitoring,Female,Mixed,Mixed,isiZulu,They need baby formula and diapers so she's request for food vouchers,They need baby formula and diapers so she's request for food vouchers,3,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
